minute_1,minute_2,minute_3,minute_4,minute_5,minute_6,minute_7,minute_8,minute_9,minute_10,minute_11,minute_12,minute_13,minute_14,minute_15,minute_16,minute_17,minute_18,minute_19,minute_20,minute_21,minute_22,minute_23,minute_24,minute_25,minute_26,minute_27,minute_28,minute_29,minute_30,minute_31,minute_32,minute_33,minute_34,minute_35,minute_36,minute_37,minute_38,minute_39,minute_40,minute_41,minute_42,minute_43,minute_44,minute_45,minute_46,minute_47,minute_48,minute_49,minute_50,minute_51,minute_52,minute_53,minute_54,minute_55,minute_56,minute_57,minute_58,minute_59,minute_60
26.2,26.8,26.6,27.0,27.0,27.1,27.1,27.3,27.3,27.2,27.3,27.3,27.4,27.2,27.2,27.3,27.3,27.6,27.4,27.4,27.5,27.4,27.4,27.4,27.9,27.6,27.3,27.2,27.3,27.5,27.5,27.5,27.8,27.5,27.8,27.7,27.7,27.8,27.8,27.6,27.9,27.9,27.8,27.6,27.8,27.9,27.7,27.7,27.7,27.8,27.7,27.8,27.8,27.7,27.7,27.8,27.8,27.9,27.8,27.8
26.3,26.9,26.8,27.2,27.1,27.0,27.0,27.3,27.4,27.1,27.2,27.1,27.3,27.5,27.4,27.6,27.5,27.3,27.3,27.6,27.6,27.7,27.5,27.6,28.1,27.5,27.6,27.5,27.7,27.6,27.6,27.6,27.7,27.9,27.6,27.8,28.0,27.9,27.7,27.7,28.0,28.0,27.9,27.8,28.0,28.1,27.8,27.9,27.8,27.8,28.0,28.0,28.0,27.9,28.1,27.7,27.9,28.0,28.1,27.9
26.6,27.0,27.0,27.1,27.2,27.1,27.1,27.2,27.2,27.5,27.3,27.6,27.4,27.2,27.5,27.7,27.6,27.8,27.5,27.4,27.8,27.8,27.6,27.5,27.8,27.6,27.5,27.8,27.6,27.7,27.7,27.7,27.6,27.8,27.7,28.1,27.8,28.1,27.8,27.8,27.7,28.0,28.1,27.9,27.7,28.0,28.0,27.8,27.9,28.0,27.8,27.7,27.9,28.0,27.7,27.9,28.2,28.1,28.2,28.1
27.0,26.9,27.2,27.2,27.2,27.4,27.4,27.4,27.4,27.5,27.5,27.1,27.5,27.5,27.3,27.5,27.5,27.4,27.6,27.6,27.5,27.5,27.5,27.7,27.9,27.5,27.8,27.5,27.7,27.8,27.8,27.6,27.7,27.9,27.6,28.0,27.9,27.9,27.9,27.7,28.0,27.9,28.3,28.0,28.0,27.9,27.8,28.0,27.8,28.3,27.9,27.9,27.8,28.1,28.1,28.0,27.9,27.9,27.9,27.9
26.9,27.1,27.3,27.2,27.3,27.3,27.2,27.6,27.4,27.5,27.6,27.7,27.6,27.4,27.5,27.8,27.7,27.6,27.8,27.7,27.6,27.7,27.7,27.9,28.2,27.7,27.6,27.8,28.0,27.7,28.0,27.8,27.9,28.0,27.9,28.1,28.0,28.0,28.1,28.0,27.9,28.1,28.2,27.9,28.0,28.0,27.9,28.1,28.1,28.2,28.0,28.0,27.9,28.0,27.9,28.0,28.1,28.1,28.1,28.2
26.8,27.0,27.0,27.5,27.6,27.4,27.4,27.6,27.3,27.7,27.6,27.7,27.8,27.6,27.3,27.7,27.8,27.7,27.7,27.6,27.7,27.7,27.6,27.5,28.1,27.9,28.0,27.9,27.9,27.9,27.8,27.9,28.0,28.1,27.8,28.0,28.1,27.9,28.0,27.6,28.0,28.3,28.2,28.1,28.1,28.4,28.0,28.0,28.0,28.1,27.9,28.1,28.0,28.1,28.1,28.2,28.4,28.0,28.2,28.1
27.0,27.2,27.2,27.3,27.5,27.5,27.3,27.8,27.4,27.8,27.6,27.6,27.7,27.8,27.5,27.8,27.7,27.9,27.8,27.7,27.8,27.8,27.7,27.7,28.2,27.7,27.9,27.8,28.1,27.9,28.0,27.9,27.7,28.0,28.1,28.4,28.0,28.3,28.1,28.0,28.1,28.2,28.3,28.0,28.1,28.3,28.2,28.2,28.0,28.3,28.3,28.2,27.9,28.3,28.2,27.9,28.1,28.2,28.3,28.2
26.9,27.2,27.3,27.5,27.3,27.6,27.4,27.7,27.7,27.6,28.0,27.7,27.8,27.7,27.7,27.8,27.8,27.8,27.7,27.8,27.7,28.1,27.8,28.1,28.1,27.6,28.0,28.0,28.0,28.0,28.1,27.8,28.1,28.2,28.0,27.9,28.1,28.1,28.2,27.9,28.2,28.3,28.1,28.1,28.3,28.3,28.0,28.1,27.8,28.1,28.2,28.3,28.1,28.1,28.1,28.2,28.3,28.3,28.2,28.3
27.0,27.3,27.4,27.7,27.3,27.4,27.4,27.8,27.7,27.8,27.7,27.4,27.8,28.0,28.0,27.7,27.9,27.7,27.9,28.0,27.8,27.7,28.0,27.8,28.0,27.8,28.1,28.1,28.1,27.9,27.9,28.2,27.9,28.3,28.0,28.0,28.2,28.2,28.1,28.3,28.1,28.2,28.3,28.5,28.2,28.4,28.0,28.2,28.2,28.4,28.1,28.1,28.3,28.3,28.3,28.3,28.5,28.2,28.3,28.2
27.2,27.4,27.4,27.5,27.4,27.8,27.5,27.9,27.6,27.9,27.8,27.7,27.9,27.7,27.7,28.0,27.8,28.1,27.9,27.9,27.9,27.9,27.9,27.9,28.0,28.1,28.2,27.9,28.0,28.2,28.3,28.1,28.2,28.2,28.3,28.3,28.1,28.3,28.2,28.2,28.2,28.4,28.4,28.4,28.3,28.3,28.3,28.0,28.3,28.3,28.3,28.3,28.5,28.4,28.5,28.4,28.3,28.3,28.6,28.3
