iter	RMSE
0	8.816127309
1	8.490667502
2	8.209142508
3	7.909645944
4	7.655405688
5	7.394851799
6	7.153026355
7	6.930972262
8	6.725269031
9	6.531037318
10	6.34916588
11	6.186687639
12	5.971385679
13	5.79838998
14	5.675398205
15	5.501428459
16	5.362975886
17	5.217398657
18	5.099308331
19	4.957938133
20	4.857249366
21	4.731491215
22	4.612349748
23	4.523681074
24	4.408878165
25	4.325166192
26	4.237080137
27	4.142615965
28	4.062490186
29	3.995762728
30	3.934613236
31	3.864175518
32	3.772562856
33	3.696203341
34	3.646595035
35	3.579761566
36	3.519435215
37	3.453210486
38	3.395648486
39	3.353963827
40	3.297348095
41	3.229299605
42	3.190249126
43	3.136920478
44	3.084244359
45	3.050061266
46	3.012022399
47	2.962265918
48	2.907892754
49	2.873993772
50	2.832489246
51	2.800752626
52	2.775057446
53	2.752512563
54	2.712904201
55	2.681619424
56	2.63249956
57	2.597349921
58	2.572121419
59	2.550490812
60	2.51471687
61	2.483760273
62	2.460405721
63	2.442028919
64	2.421559987
65	2.392547504
66	2.36064235
67	2.31983509
68	2.281090379
69	2.265420941
70	2.234591645
71	2.208758593
72	2.196568791
73	2.184471834
74	2.167695054
75	2.134184846
76	2.120681615
77	2.099710906
78	2.066455313
79	2.046698973
80	2.030889514
81	2.011702097
82	1.989584085
83	1.959633235
84	1.9251932
85	1.909793203
86	1.90127354
87	1.887281276
88	1.875871945
89	1.866719077
90	1.842032907
91	1.828668185
92	1.81222406
93	1.801822763
94	1.794759666
95	1.771182295
96	1.74836867
97	1.724921645
98	1.715686982
99	1.697931534
100	1.689128099
101	1.671767208
102	1.651663987
103	1.635081816
104	1.625005712
105	1.616828907
106	1.600127308
107	1.590109727
108	1.586708961
109	1.58121862
110	1.574336164
111	1.558973457
112	1.540163859
113	1.532054591
114	1.523927356
115	1.515537484
116	1.506426948
117	1.492163903
118	1.48245361
119	1.471972863
120	1.449055358
121	1.439937243
122	1.432653093
123	1.424155334
124	1.411918025
125	1.405053314
126	1.393750226
127	1.385730389
128	1.375495899
129	1.368851289
130	1.358548967
131	1.349114502
132	1.337809023
133	1.325819761
134	1.318597243
135	1.305520097
136	1.29604378
137	1.288124566
138	1.27392029
139	1.270168465
140	1.262229344
141	1.251625713
142	1.245731989
143	1.24016133
144	1.234383783
145	1.230128127
146	1.226139915
147	1.213662735
148	1.204425455
149	1.197107933
150	1.18952137
151	1.182549293
152	1.176748594
153	1.168714386
154	1.163602886
155	1.155846482
156	1.149720522
157	1.142856451
158	1.137239855
159	1.127084889
160	1.116868946
161	1.112315035
162	1.102816041
163	1.097568785
164	1.089166734
165	1.084972459
166	1.077312376
167	1.071873107
168	1.067678188
169	1.062786889
170	1.056968686
171	1.047805178
172	1.043123861
173	1.036609691
174	1.029400968
175	1.021851416
176	1.015040105
177	1.010559448
178	1.006579361
179	0.9996110826
180	0.9929959758
181	0.9887030933
182	0.9838562109
183	0.9776591524
184	0.9688636048
185	0.961720719
186	0.9551818686
187	0.9505176791
188	0.9401189162
189	0.9375393459
190	0.933353679
191	0.9289056683
192	0.9231276857
193	0.9150985286
194	0.9113286735
195	0.9074677687
196	0.9042427252
197	0.9002795437
198	0.8979234776
199	0.8955559821
200	0.8930497588
201	0.8857025043
202	0.8819836854
203	0.879250531
204	0.8699357733
205	0.8676248836
206	0.8653785099
207	0.859303642
208	0.8575173802
209	0.8538485598
210	0.8482200591
211	0.8450800349
212	0.8370578429
213	0.8297136714
214	0.8270650454
215	0.8233495332
216	0.81848289
217	0.8149435476
218	0.8119674799
219	0.8077407593
220	0.8058114787
221	0.8030883274
222	0.7999069391
223	0.7971998758
224	0.7935577041
225	0.7901939269
226	0.7857981055
227	0.7838200377
228	0.7797273793
229	0.7780142582
230	0.7744302245
231	0.7719678377
232	0.7675236666
233	0.7619660633
234	0.7594253309
235	0.7560277577
236	0.7516457752
237	0.745923338
238	0.7423395772
239	0.740681779
240	0.7382214116
241	0.7350098742
242	0.7329258523
243	0.7308540561
244	0.7277650781
245	0.7226394418
246	0.7202243482
247	0.7161634943
248	0.7125789841
249	0.7089839695
250	0.7069212717
251	0.7040619748
252	0.702251238
253	0.6993120378
254	0.6951294516
255	0.6912957565
256	0.689805522
257	0.6875649388
258	0.6848251403
259	0.681108246
260	0.6794470392
261	0.6775878332
262	0.6760290312
263	0.6727656349
264	0.6696985471
265	0.6671923446
266	0.665749135
267	0.663262921
268	0.6601621617
269	0.6575150308
270	0.6543556053
271	0.6516586872
272	0.6500536779
273	0.6483390126
274	0.6466104903
275	0.6439689883
276	0.6411286595
277	0.638881105
278	0.6362694415
279	0.6347011227
280	0.6333773421
281	0.6316033807
282	0.6293847734
283	0.6273391487
284	0.6249861866
285	0.6227972482
286	0.6198724788
287	0.6186699152
288	0.617600192
289	0.6156511151
290	0.6129261002
291	0.6108355715
292	0.6081389431
293	0.6068070833
294	0.6039814699
295	0.6015954614
296	0.5976604227
297	0.5949548482
298	0.5929200645
299	0.5922522639
300	0.5895715625
301	0.5885101264
302	0.5860312599
303	0.5830161937
304	0.5816712714
305	0.5813071846
306	0.5789792769
307	0.576794651
308	0.574707069
309	0.5730339197
310	0.5702909454
311	0.5692290908
312	0.568216786
313	0.5663550235
314	0.5645624141
315	0.56159443
316	0.5606608536
317	0.5586515964
318	0.5571779867
319	0.5553549011
320	0.5532964066
321	0.5524401177
322	0.5515122669
323	0.549908187
324	0.5479807128
325	0.5459934301
326	0.5436817675
327	0.5419958142
328	0.540471575
329	0.538230681
330	0.5360384445
331	0.5333238623
332	0.5323987154
333	0.5307538735
334	0.5295766194
335	0.5275356394
336	0.5264771916
337	0.5247045864
338	0.523906406
339	0.5230036455
340	0.5214689328
341	0.5203580268
342	0.5185977499
343	0.5175057356
344	0.5149619843
345	0.5137557982
346	0.5130757015
347	0.5111901259
348	0.5098154741
349	0.5078909467
350	0.5066741016
351	0.5048609246
352	0.5029138537
353	0.502108889
354	0.5004352036
355	0.4995290061
356	0.4982260807
357	0.4967962994
358	0.4961979296
359	0.4947550042
360	0.49304525
361	0.4923661961
362	0.4910803674
363	0.4896477366
364	0.4881686353
365	0.4867448837
366	0.4854146172
367	0.4840618675
368	0.483722365
369	0.482368228
370	0.4808891496
371	0.4796603399
372	0.4782569735
373	0.4772627872
374	0.4758109086
375	0.4746883646
376	0.4730394137
377	0.4717253181
378	0.4704221198
379	0.469261069
380	0.468276357
381	0.467186572
382	0.4664234186
383	0.4646921343
384	0.4630759405
385	0.4626675376
386	0.462080107
387	0.4604582494
388	0.459838162
389	0.458475113
390	0.4572423444
391	0.456136423
392	0.4554413111
393	0.4546796401
394	0.4543137603
395	0.4530481907
396	0.4515769365
397	0.4505816658
398	0.4499625523
399	0.4484233209
400	0.4472141729
401	0.4464627566
402	0.4459317454
403	0.4449203038
404	0.4436162706
405	0.4431173987
406	0.4428255457
407	0.4417324867
408	0.4409845537
409	0.4401901789
410	0.4394174264
411	0.4381503937
412	0.4377614684
413	0.4368187954
414	0.4348601067
415	0.4325152207
416	0.4316273162
417	0.4305391499
418	0.4296951593
419	0.4281939988
420	0.4265879941
421	0.4251375277
422	0.4242809981
423	0.4238681575
424	0.4222972997
425	0.4211549245
426	0.4205542621
427	0.419862106
428	0.4184681058
429	0.4176118656
430	0.4166340454
431	0.4156037357
432	0.4152344563
433	0.4143544452
434	0.4140172153
435	0.4128006406
436	0.4123045678
437	0.411750548
438	0.4108405485
439	0.4099092029
440	0.4090043763
441	0.4081916763
442	0.4073715402
443	0.4063262211
444	0.405876884
445	0.4046371861
446	0.4038665571
447	0.4029039929
448	0.4023128131
449	0.4015594246
450	0.4007093252
451	0.4002162634
452	0.3994521638
453	0.3982528245
454	0.3979358107
455	0.3974145056
456	0.3968968189
457	0.3963598001
458	0.3953910777
459	0.3949182068
460	0.3940663334
461	0.3930278507
462	0.3920524449
463	0.3915175202
464	0.3911850154
465	0.3904951411
466	0.389717707
467	0.3892457032
468	0.3882528555
469	0.387091002
470	0.3863222183
471	0.3851723774
472	0.3844780834
473	0.383751354
474	0.3837367595
475	0.3820256838
476	0.3818935854
477	0.3810230803
478	0.380657811
479	0.3799365759
480	0.3796700433
481	0.3790569667
482	0.3789521513
483	0.3788103559
484	0.3781628339
485	0.3775755846
486	0.3770962889
487	0.3762584532
488	0.3754454384
489	0.3746497795
490	0.37404326
491	0.3729254223
492	0.3722872315
493	0.3719730162
494	0.3709577096
495	0.3708402749
496	0.3702537635
497	0.3689176706
498	0.3679911009
499	0.3673592952
500	0.3670733524
501	0.3661092333
502	0.3652174317
503	0.3644551782
504	0.3642907015
505	0.3635093157
506	0.3625888808
507	0.3620934046
508	0.3615443981
509	0.3601065754
510	0.359152268
511	0.3583107801
512	0.3573787431
513	0.3565463267
514	0.3556110848
515	0.3549497399
516	0.3541506268
517	0.3536102446
518	0.3528433532
519	0.3519640851
520	0.3514069314
521	0.3510454394
522	0.3506092741
523	0.3499917574
524	0.3499802393
525	0.3490100682
526	0.3486881857
527	0.3483830061
528	0.3480737735
529	0.3477624239
530	0.3473301546
531	0.3473207106
532	0.3473112272
533	0.3473032483
534	0.3467384861
535	0.3461538429
536	0.3458051568
537	0.3452249962
538	0.3450005862
539	0.3443379692
540	0.3432894619
541	0.3425414835
542	0.3425322017
543	0.3425248735
544	0.3421018968
545	0.3408134034
546	0.3408052195
547	0.3402503597
548	0.340059435
549	0.3400517485
550	0.3395667954
551	0.3387755142
552	0.3384706996
553	0.3384633916
554	0.3382574683
555	0.3377344079
556	0.3372608737
557	0.3364825871
558	0.3360493747
559	0.3360434379
560	0.3360376229
561	0.3354930673
562	0.3348280729
563	0.3348224758
564	0.3348162823
565	0.3348098877
566	0.3348041121
567	0.3347992113
568	0.3347919726
569	0.334786289
570	0.3333759278
571	0.3325707931
572	0.3325652315
573	0.3314520957
574	0.3314467376
575	0.3308440134
576	0.3303176092
577	0.3299619796
578	0.3294285494
579	0.3291141027
580	0.3285622192
581	0.3276151986
582	0.327331375
583	0.3260991446
584	0.3256789298
585	0.3247785844
586	0.3239562696
587	0.3237589421
588	0.3228761171
589	0.3224019044
590	0.3214529462
591	0.3210019696
592	0.3204939536
593	0.3196303282
594	0.3187970966
595	0.31826702
596	0.317943545
597	0.3176483199
598	0.3174553384
599	0.3168607104
600	0.31628379
601	0.3158069179
602	0.3153465717
603	0.3149220812
604	0.3144359078
605	0.3138866422
606	0.3128044076
607	0.312393008
608	0.311525534
609	0.3107742074
610	0.3101614871
611	0.3097861852
612	0.3092243679
613	0.3092216044
614	0.3087570118
615	0.3085068893
616	0.308144919
617	0.3078963883
618	0.3071053726
619	0.3064864979
620	0.3063343725
621	0.3055300671
622	0.3049259786
623	0.3042935086
624	0.3037627433
625	0.3027346895
626	0.3020168019
627	0.3013397204
628	0.3006137469
629	0.3002725859
630	0.3001027518
631	0.2996207364
632	0.2991249063
633	0.2987334754
634	0.2982514282
635	0.2979049616
636	0.2975856575
637	0.2968045373
638	0.2964975116
639	0.2961217041
640	0.2960249426
641	0.2954100259
642	0.2952142124
643	0.2951453699
644	0.2948183674
645	0.294394478
646	0.2938885364
647	0.2929943294
648	0.2927406705
649	0.2921366691
650	0.2921333547
651	0.2918145676
652	0.2913914836
653	0.2910959244
654	0.2906180698
655	0.2898639466
656	0.2893019313
657	0.2888076166
658	0.2886087162
659	0.2881567076
660	0.2880114813
661	0.2878081645
662	0.2870123697
663	0.2867243505
664	0.2862875132
665	0.2856897167
666	0.285087938
667	0.2843750133
668	0.2842163124
669	0.2839254189
670	0.2835373009
671	0.2832981462
672	0.2826107788
673	0.2820375309
674	0.2817918623
675	0.2816524184
676	0.2814991346
677	0.2810290096
678	0.2805757433
679	0.2800723657
680	0.2797096867
681	0.2795278954
682	0.279010077
683	0.2783984724
684	0.2779586387
685	0.2774218687
686	0.2766506846
687	0.2761114516
688	0.2756208532
689	0.2754731972
690	0.2748394922
691	0.2746490942
692	0.2743216078
693	0.2740163532
694	0.2740132208
695	0.2740068245
696	0.2736464707
697	0.2735569263
698	0.2733747782
699	0.2730918374
700	0.2727028985
701	0.2720937732
702	0.2712620201
703	0.2708800328
704	0.2705025288
705	0.270303068
706	0.2699137941
707	0.2696953644
708	0.2692815818
709	0.2692797845
710	0.2686306696
711	0.2678799235
712	0.2674277241
713	0.2671923401
714	0.2668023071
715	0.2664864224
716	0.2661334326
717	0.2661010416
718	0.2656383629
719	0.2653977861
720	0.2649690965
721	0.2646720028
722	0.264168661
723	0.263882654
724	0.2630929795
725	0.2630906154
726	0.2628510872
727	0.2625140907
728	0.2619670393
729	0.2616083612
730	0.2610166361
731	0.260756889
732	0.2601168941
733	0.2597463293
734	0.2595939238
735	0.2591007388
736	0.2587111939
737	0.2580530591
738	0.2578927542
739	0.2575303029
740	0.2572972053
741	0.2568195903
742	0.2563870168
743	0.2562298055
744	0.2559153693
745	0.255279155
746	0.2550899982
747	0.2549156682
748	0.2544975417
749	0.2542230857
750	0.2537775355
751	0.2533990115
752	0.2531927271
753	0.2528855315
754	0.2526946907
755	0.2522701683
756	0.2519839503
757	0.2516947271
758	0.2516227577
759	0.2512536646
760	0.250864541
761	0.250151106
762	0.2498287326
763	0.249572925
764	0.2493089471
765	0.2487233444
766	0.2481606222
767	0.2477979779
768	0.2474967707
769	0.247430481
770	0.2470683299
771	0.2465240148
772	0.2462526276
773	0.2460260867
774	0.2458730515
775	0.2455506459
776	0.2453026206
777	0.2450309512
778	0.244803136
779	0.2443751199
780	0.244140102
781	0.2438581374
782	0.2432680792
783	0.2429378066
784	0.2425935869
785	0.2420564891
786	0.2419471969
787	0.2417561322
788	0.2415037425
789	0.2412606337
790	0.241016956
791	0.240075473
792	0.2398281591
793	0.239380458
794	0.2391883772
795	0.2389817087
796	0.2388998426
797	0.2386124762
798	0.2384056618
799	0.2381668574
800	0.2379290114
801	0.2377203009
802	0.2375026547
803	0.2372263218
804	0.2370486575
805	0.2366827125
806	0.2365899922
807	0.2361878272
808	0.2355744545
809	0.2353571361
810	0.2351165476
811	0.2347037745
812	0.2343762142
813	0.2341501427
814	0.2340614666
815	0.2338885627
816	0.2335766914
817	0.2333599188
818	0.2330549978
819	0.2327798792
820	0.2324187225
821	0.2320647403
822	0.2318853389
823	0.2315674333
824	0.2313688144
825	0.231160906
826	0.2307779448
827	0.2304867488
828	0.2304088231
829	0.2301400494
830	0.2299478398
831	0.2296911992
832	0.2294460938
833	0.2293684957
834	0.2288739506
835	0.2286762349
836	0.2284574867
837	0.2282361
838	0.2281219655
839	0.2277800818
840	0.227440957
841	0.227294848
842	0.2269310436
843	0.2267424917
844	0.2264642464
845	0.226204867
846	0.2255929264
847	0.2255327376
848	0.2253078103
849	0.2252322047
850	0.2250474727
851	0.2247462027
852	0.2245093737
853	0.2243713632
854	0.2240564577
855	0.2239286265
856	0.2236862944
857	0.2233924492
858	0.2230760758
859	0.2226720774
860	0.2224613049
861	0.2220850268
862	0.2216594104
863	0.221363004
864	0.2211297887
865	0.220951091
866	0.2203865406
867	0.2200934303
868	0.2197705751
869	0.2197019129
870	0.2193998693
871	0.2186959349
872	0.2184561743
873	0.218115274
874	0.2178907817
875	0.2174743065
876	0.2171557732
877	0.2168091526
878	0.2166675676
879	0.2165418235
880	0.215921238
881	0.2157257239
882	0.2154252769
883	0.2151605371
884	0.2145988159
885	0.2143232894
886	0.2139796839
887	0.2135850494
888	0.2130761061
889	0.2121193695
890	0.2118103776
891	0.2117038264
892	0.2114915061
893	0.2112459601
894	0.2110657758
895	0.2109955993
896	0.2107725311
897	0.2104934396
898	0.2101246497
899	0.2099850451
900	0.2098106531
901	0.2095434269
902	0.2091650109
903	0.2090069093
904	0.2088450487
905	0.2085955868
906	0.2083360236
907	0.2081924532
908	0.2079697072
909	0.2077093027
910	0.2074839017
911	0.2071771999
912	0.2069389069
913	0.2067934377
914	0.2066295083
915	0.2062860912
916	0.2061178534
917	0.206020304
918	0.2058561489
919	0.2055811544
920	0.2053271869
921	0.2049830903
922	0.2049323065
923	0.20485854
924	0.2046082504
925	0.2040839208
926	0.203735716
927	0.2035097722
928	0.2032955144
929	0.2031877786
930	0.2028444815
931	0.2025492305
932	0.2023507969
933	0.2021042111
934	0.201946948
935	0.2017114055
936	0.2012933347
937	0.200956563
938	0.2006059377
939	0.2003285441
940	0.200159356
941	0.1997246854
942	0.1994211813
943	0.1991480705
944	0.1990447685
945	0.1987535718
946	0.1983632843
947	0.1981443154
948	0.1979656285
949	0.1976125131
950	0.1975239812
951	0.1973072052
952	0.1970231391
953	0.1968720022
954	0.1966830198
955	0.1963367254
956	0.1961549644
957	0.1960688623
958	0.1957365908
959	0.1955676299
960	0.1952290847
961	0.1951228622
962	0.1949889051
963	0.1947369257
964	0.1945371232
965	0.1943760691
966	0.1940619971
967	0.1938970348
968	0.1936652457
969	0.1934019232
970	0.1932835265
971	0.1930418819
972	0.1927131505
973	0.192405563
974	0.1920667616
975	0.191904678
976	0.1917946704
977	0.1913978481
978	0.1909359744
979	0.1905854558
980	0.190304619
981	0.1899482488
982	0.1897294426
983	0.1894731455
984	0.189232824
985	0.1890354149
986	0.1889005864
987	0.1886291222
988	0.1884459553
989	0.1883079458
990	0.1881276429
991	0.1879801774
992	0.1877434299
993	0.1875141342
994	0.1873257823
995	0.1871930077
996	0.1870576567
997	0.1867178831
998	0.1865488883
999	0.1863784142
