iter	Passed	Remaining
0	148	147914
1	150	75034
2	152	50826
3	155	38658
4	157	31366
5	159	26499
6	161	22978
7	164	20349
8	166	18364
9	168	16726
10	171	15377
11	173	14307
12	175	13361
13	178	12540
14	180	11841
15	182	11228
16	184	10675
17	186	10192
18	188	9755
19	191	9381
20	193	9021
21	195	8697
22	197	8401
23	199	8127
24	202	7884
25	204	7650
26	206	7433
27	208	7231
28	210	7044
29	212	6869
30	214	6703
31	216	6548
32	218	6400
33	220	6262
34	222	6139
35	224	6021
36	227	5908
37	229	5800
38	230	5691
39	232	5590
40	235	5497
41	236	5405
42	238	5314
43	240	5231
44	242	5151
45	244	5076
46	246	5003
47	248	4935
48	251	4873
49	253	4811
50	255	4753
51	257	4694
52	259	4637
53	261	4581
54	263	4528
55	265	4479
56	267	4430
57	269	4381
58	271	4336
59	273	4292
60	276	4250
61	278	4207
62	279	4164
63	281	4124
64	284	4085
65	286	4047
66	287	4010
67	290	3975
68	292	3941
69	294	3907
70	296	3873
71	298	3841
72	300	3810
73	302	3781
74	304	3752
75	306	3726
76	308	3697
77	310	3671
78	312	3645
79	314	3617
80	316	3589
81	318	3566
82	320	3544
83	322	3520
84	325	3499
85	327	3477
86	329	3454
87	331	3433
88	333	3411
89	335	3391
90	337	3370
91	339	3349
92	341	3329
93	343	3309
94	345	3289
95	347	3272
96	350	3258
97	352	3242
98	354	3224
99	356	3206
100	358	3187
101	360	3170
102	361	3152
103	363	3134
104	365	3116
105	367	3099
106	369	3081
107	371	3064
108	372	3047
109	374	3031
110	376	3015
111	378	3001
112	380	2986
113	382	2972
114	384	2959
115	386	2944
116	388	2930
117	390	2916
118	392	2905
119	394	2891
120	396	2877
121	398	2864
122	400	2852
123	402	2840
124	404	2828
125	405	2816
126	407	2804
127	409	2791
128	411	2779
129	413	2767
130	415	2755
131	417	2744
132	419	2734
133	421	2723
134	423	2712
135	425	2701
136	427	2691
137	429	2680
138	431	2670
139	432	2658
140	434	2648
141	436	2638
142	440	2637
143	442	2627
144	444	2618
145	445	2608
146	448	2599
147	450	2590
148	452	2582
149	454	2573
150	456	2565
151	458	2556
152	460	2548
153	462	2539
154	464	2531
155	466	2523
156	468	2514
157	470	2505
158	472	2496
159	474	2489
160	476	2481
161	478	2473
162	480	2465
163	481	2456
164	483	2447
165	485	2441
166	488	2434
167	490	2426
168	492	2419
169	494	2411
170	495	2403
171	497	2395
172	499	2387
173	501	2380
174	503	2373
175	505	2366
176	507	2359
177	509	2351
178	511	2344
179	513	2337
180	515	2331
181	516	2323
182	518	2316
183	520	2309
184	522	2302
185	524	2295
186	526	2289
187	528	2282
188	530	2276
189	532	2269
190	534	2262
191	536	2255
192	537	2249
193	539	2242
194	541	2236
195	543	2230
196	545	2223
197	547	2218
198	549	2212
199	551	2206
200	553	2199
201	555	2193
202	557	2187
203	559	2181
204	561	2176
205	563	2170
206	565	2165
207	567	2159
208	568	2153
209	570	2147
210	572	2141
211	574	2136
212	576	2130
213	578	2125
214	580	2119
215	582	2114
216	584	2108
217	586	2102
218	588	2097
219	589	2091
220	591	2085
221	593	2080
222	595	2075
223	597	2071
224	600	2066
225	601	2061
226	603	2056
227	605	2051
228	607	2046
229	609	2040
230	611	2035
231	613	2030
232	615	2025
233	617	2020
234	618	2014
235	620	2009
236	622	2004
237	624	1999
238	626	1994
239	628	1989
240	630	1985
241	632	1980
242	634	1976
243	636	1971
244	638	1966
245	640	1961
246	641	1957
247	644	1953
248	646	1948
249	648	1944
250	650	1939
251	651	1935
252	653	1930
253	656	1926
254	657	1922
255	659	1917
256	661	1913
257	663	1908
258	665	1904
259	667	1900
260	669	1896
261	671	1892
262	673	1887
263	675	1883
264	677	1878
265	679	1873
266	680	1869
267	682	1864
268	684	1859
269	686	1855
270	688	1850
271	689	1846
272	691	1842
273	693	1838
274	696	1834
275	698	1831
276	699	1826
277	701	1822
278	703	1818
279	705	1814
280	707	1810
281	709	1806
282	711	1802
283	713	1798
284	715	1794
285	716	1789
286	718	1785
287	720	1781
288	722	1778
289	724	1774
290	726	1770
291	728	1766
292	730	1763
293	732	1758
294	734	1754
295	736	1751
296	738	1747
297	740	1744
298	742	1740
299	744	1736
300	746	1732
301	747	1728
302	749	1724
303	751	1720
304	753	1717
305	755	1713
306	757	1709
307	759	1706
308	761	1702
309	763	1699
310	765	1695
311	767	1691
312	769	1687
313	771	1684
