Температура окружающей среды,Влажность окружающей среды,Температура раствора,Значение АЦП внешнего фотодиода,Значение АЦП внутреннего фотодиода,Интегральная сумма внешнего фотодиода,Интегральная сумма внутреннего фотодиода,Температура лазера,Температура фотодиода,Фурье образ внутреннего фотодиода,Фурье образ внешнего фотодиода,Время с начала эксперимента,Концентрация глюкозы
27.4,24.0,27.5,19459.0,59463.0,190104128.66666663,295775087.3333333,23.884337396061365,27.52265145339616,8.751803294003933e+16,3.614086157526074e+16,0.0,28.43
27.4,24.0,27.500000000000004,38838.302187204434,58767.28939983143,190104128.66666663,295775087.3333334,24.00183641228147,27.608643755225508,32449341.91240669,1952146509.458696,0.1996665558735174,28.430000000000003
27.4,24.0,27.5,38736.5712572867,58688.49183062999,190104128.6666666,295775087.3333334,24.105628001670052,27.67241287173891,19212786.16538108,1524593880.3319206,0.3993331117470349,28.43
27.4,24.000000000000007,27.5,38665.27405709241,58658.896590064935,190104128.66666663,295775087.3333334,24.196885353827515,27.717405997237325,22222796.97215689,1321205909.2591937,0.5989996676205525,28.430000000000007
27.40000000000001,24.000000000000007,27.500000000000007,38618.65464404793,58673.4560314412,190104128.66666663,295775087.33333343,24.276727941560768,27.746752289197328,19756566.796274085,1083123233.5385184,0.7986662234940701,28.430000000000007
27.40000000000001,24.000000000000007,27.500000000000004,38564.83419561969,58679.51695997544,190104128.66666663,295775087.3333333,24.34622213504453,27.763276495735926,31188146.86492284,865555074.8095442,0.9983327793675876,28.43
27.4,24.000000000000004,27.500000000000004,38550.42619213378,58695.71466024879,190104128.66666663,295775087.3333334,24.406381815982463,27.76951258307537,20495395.5132676,672390218.6295307,1.197999335241105,28.43
27.40000000000001,24.000000000000007,27.5,38491.44895037998,58724.05923684535,190104128.66666663,295775087.3333334,24.458168991768392,27.76771736300792,15027647.90479027,447186115.3518714,1.3976658911146227,28.430000000000003
27.4,24.000000000000007,27.5,38460.51136337045,58742.61253814443,190104128.66666663,295775087.3333334,24.502494409647483,27.759884120360574,7053247.522355498,295989307.3137816,1.59733244698814,28.430000000000003
27.4,24.000000000000004,27.5,38407.10518373599,58803.58317719844,190104128.6666666,295775087.3333333,24.54021817087745,27.74775624045995,4176862.908786733,237745089.8872797,1.7969990028616574,28.43
27.4,24.0,27.5,38388.1561201849,58816.53050879858,190104128.66666663,295775087.3333334,24.572150344889785,27.732840836596967,2596403.103001774,219174708.8759728,1.9966655587351747,28.43
27.40000000000001,24.000000000000007,27.500000000000004,38342.27892394451,58852.82226294706,190104128.66666663,295775087.3333334,24.599051583450887,27.71642237749172,3289270.866677699,232324902.0827851,2.196332114608693,28.430000000000007
27.4,24.000000000000004,27.500000000000004,38324.76288705817,58893.1049829236,190104128.66666663,295775087.3333334,24.621633734823327,27.699576314758243,7239592.133494167,267005731.4970732,2.3959986704822103,28.430000000000003
27.4,24.0,27.500000000000004,38272.51352109805,58950.21843769549,190104128.66666663,295775087.3333334,24.640560457927023,27.68318271036923,6903262.911893617,298957312.6361829,2.595665226355728,28.430000000000003
27.4,24.0,27.500000000000004,38255.708500878594,58958.72270095319,190104128.66666663,295775087.3333334,24.656447836500416,27.667939864120907,6972576.944057938,275124762.6634544,2.795331782229245,28.430000000000003
27.4,24.000000000000004,27.5,38207.61934135384,58993.36387004333,190104128.66666663,295775087.3333334,24.669864993261683,27.654377941097778,8045762.900310098,262236185.53385663,2.994998338102762,28.430000000000003
27.4,24.000000000000004,27.500000000000004,38191.16405613471,59033.57777565333,190104128.66666663,295775087.3333334,24.68133470406996,27.64287259913738,7442935.527480264,254788994.1710652,3.19466489397628,28.430000000000003
27.4,24.0,27.500000000000004,38131.36822428359,59046.79732814556,190104128.66666663,295775087.3333333,24.69133401208649,27.63365861629512,5672486.055536302,208334915.25926223,3.394331449849797,28.43
27.4,24.000000000000004,27.5,38163.22620455328,59072.910779622674,190104128.66666663,295775087.3333333,24.70029484193586,27.62684351830902,2337476.2592704403,172252004.2573112,3.593998005723315,28.43
27.4,24.000000000000007,27.500000000000004,38112.70869514204,59090.40573014376,190104128.66666663,295775087.3333334,24.708604613867205,27.622421206064544,2051785.892347952,141602126.89005,3.793664561596832,28.430000000000003
27.4,24.000000000000007,27.5,38073.78278624912,59132.414693617095,190104128.66666663,295775087.33333343,24.71660685791534,27.620285583059324,1134770.732935146,129422766.85384698,3.993331117470351,28.430000000000003
27.4,24.000000000000004,27.5,38062.88200320029,59155.48060229761,190104128.66666663,295775087.3333334,24.724601828062053,27.620244182868,1257514.930702619,136143342.99961725,4.192997673343869,28.430000000000003
27.4,24.000000000000007,27.5,38041.84666102047,59181.58011965134,190104128.66666663,295775087.3333334,24.73284711639722,27.62203179660696,1650752.191357382,166489949.1382078,4.3926642292173845,28.430000000000003
27.4,24.000000000000007,27.500000000000004,38002.47663049235,59214.42260174791,190104128.66666663,295775087.3333334,24.741558267280052,27.62532410039918,3146236.954030532,182160654.91171607,4.592330785090902,28.430000000000003
27.4,24.000000000000004,27.5,37978.19148124296,59223.529825975005,190104128.66666663,295775087.33333343,24.75090939150029,27.62975128283893,5094613.9174601445,203852186.71808127,4.79199734096442,28.430000000000003
27.4,24.0,27.5,37990.88450204451,59251.41482287872,190104128.66666663,295775087.3333334,24.76103378043936,27.63491167245664,5465405.9449772,210753805.09816188,4.991663896837937,28.430000000000003
27.4,24.000000000000004,27.5,37954.95547658287,59261.40947337761,190104128.66666663,295775087.3333333,24.772024520231614,27.64038536518364,2901209.7863948154,200366803.948266,5.191330452711456,28.430000000000003
27.4,24.000000000000004,27.500000000000004,37933.93381062181,59285.526863438085,190104128.66666663,295775087.3333334,24.783935105925536,27.64574785181692,3901599.715347719,176998778.76143596,5.390997008584972,28.430000000000007
27.4,24.000000000000004,27.500000000000004,37921.2179794096,59310.83334603365,190104128.66666663,295775087.33333343,24.796780055644906,27.650583645483987,1618709.3681575956,159749437.67691287,5.590663564458491,28.430000000000007
27.40000000000001,24.000000000000004,27.5,37918.46412972055,59338.36886942456,190104128.66666663,295775087.3333334,24.81053552474998,27.6544999091076,1626794.879433754,137586806.19124737,5.790330120332008,28.430000000000003
27.4,24.000000000000004,27.5,37899.70083498972,59352.939000827566,190104128.66666663,295775087.3333333,24.82513991999875,27.65714008287053,1161560.5391327252,129739534.09871216,5.989996676205525,28.430000000000003
27.4,24.000000000000004,27.500000000000004,37882.96214338766,59375.352648511725,190104128.66666663,295775087.33333343,24.840494513708137,27.658197511680427,1278673.829068923,140012913.41371176,6.189663232079043,28.430000000000003
27.40000000000001,24.000000000000004,27.500000000000004,37880.87175918757,59413.64599328712,190104128.66666663,295775087.3333334,24.85646405791509,27.657429072634525,1399504.3720181498,167351591.1102481,6.389329787952559,28.430000000000003
27.4,24.00000000000001,27.500000000000004,37804.98768362644,59403.81483477495,190104128.66666663,295775087.33333343,24.872877398537916,27.654668802484466,3824600.5927793463,205947052.828948,6.588996343826079,28.430000000000003
27.40000000000001,24.00000000000001,27.500000000000007,37816.85149996958,59423.05900341013,190104128.66666663,295775087.33333343,24.889528089537396,27.649841525101067,2520036.360148282,240911875.18450427,6.788662899699596,28.430000000000007
27.4,24.000000000000007,27.500000000000004,37816.42005930729,59438.20174184168,190104128.66666663,295775087.3333334,24.906175007077977,27.642976478939133,4088574.7775588008,274497348.9258921,6.988329455573112,28.430000000000003
27.4,24.000000000000004,27.500000000000004,37760.33692028562,59467.25584460272,190104128.66666663,295775087.3333334,24.922542963689057,27.634220944502182,8645876.882759113,313635411.3934033,7.1879960114466295,28.43
27.4,24.000000000000007,27.5,37799.48830786383,59487.14069054785,190104128.66666663,295775087.3333334,24.938323322426086,27.623853871807324,7150490.796294937,296300523.4221362,7.387662567320147,28.430000000000003
27.4,24.0,27.5,37705.01392614287,59468.9284660468,190104128.6666666,295775087.3333333,24.953174611031773,27.612299507849944,2749466.360406863,268971545.4594669,7.587329123193664,28.43
27.40000000000001,24.000000000000004,27.5,37758.768180021536,59457.55901695783,190104128.66666663,295775087.33333343,24.966723136097382,27.600141024068567,3689072.132787026,232616294.80579716,7.786995679067181,28.43
27.4,24.0,27.500000000000004,37673.76705596095,59459.57540322271,190104128.66666663,295775087.33333343,24.978563597223797,27.588134143809583,2611548.076160934,220203393.9759208,7.9866622349407,28.430000000000003
27.4,24.0,27.500000000000004,37630.96608314596,59383.72347610328,190104128.66666663,295775087.3333334,24.98825970118279,27.57722076979207,2167100.566705948,232296373.56747887,8.186328790814217,28.430000000000003
27.4,24.0,27.5,37607.08716664184,59339.91457736818,190104128.66666663,295775087.3333334,24.99534477607825,27.568542611572543,3822532.32396694,300286324.4726504,8.385995346687734,28.43
27.4,24.0,27.5,37553.02216092107,59329.7493612469,190104128.66666663,295775087.3333334,24.999322385507305,27.563454813009805,5043071.957472042,378135583.6300236,8.585661902561252,28.43
27.4,24.0,27.5,37545.767155842965,59341.91608025095,190104128.6666666,295775087.3333333,24.999666942721543,27.563539579729657,34330922.55815481,648713268.5058557,8.785328458434769,28.430000000000003
27.4,24.000000000000004,27.500000000000004,37545.607782651525,59367.7602159978,190104128.66666663,295775087.3333334,24.995824324788277,27.570619806589725,13415961.79306493,824588888.72883,8.984995014308288,28.430000000000003
27.4,24.000000000000004,27.5,37523.142478924645,59381.96139307189,190104128.66666663,295775087.3333334,24.98721248675163,27.5867727051442,6176311.749671332,1148739928.2792544,9.184661570181804,28.430000000000003
27.4,24.000000000000007,27.5,37513.826297370855,59374.9958157752,190104128.66666663,295775087.33333343,24.973222075793817,27.614343431108725,25433667.04654643,1241781039.3931055,9.384328126055324,28.430000000000007
27.4,24.000000000000004,27.5,37441.12890845936,59403.789586358536,190104128.66666663,295775087.3333334,24.953217045396336,27.65595871182503,21108199.86894819,1420606509.803267,9.58399468192884,28.430000000000003
27.40000000000001,24.000000000000007,27.500000000000004,37443.44481940807,59397.9945610124,190104128.66666663,295775087.3333334,24.926535269501095,27.71454047372584,14191041.991350602,1762245539.842064,9.78366123780236,28.430000000000003
27.4,23.0,27.6,37386.986100041366,59442.497896778805,190104112.31147397,295775097.17727745,24.892482444002752,27.79331901425983,1185369848363.7168,499514875023.54,9.983328852013903,28.430000000000003
27.4,23.000000000000004,27.600000000000005,38513.74943686543,58871.26560260414,188559072.00000003,296705033.6666667,24.28002822274524,27.723713248044945,43712731.4836888,559120460.8252127,10.282974353548594,28.430000000000003
27.4,23.0,27.60000000000001,38409.54035761049,58864.93858778152,188559072.00000003,296705033.6666667,24.30594972847385,27.70073772484744,21898734.03798689,421691877.0798704,10.48264090942211,28.430000000000003
27.40000000000001,23.000000000000007,27.600000000000005,38319.063044553615,58909.60391316992,188559072.0000001,296705033.6666667,24.33079472896277,27.68979349098469,11628948.743307106,178877393.062794,10.682307465295626,28.430000000000003
27.4,23.0,27.600000000000005,38269.83508479609,58969.31756138889,188559072.00000003,296705033.6666666,24.35460191877901,27.688492375107643,16581530.469080914,204178261.93226367,10.881974021169146,28.43
27.4,23.0,27.60000000000001,38204.02442856069,59010.13198667206,188559072.00000003,296705033.6666667,24.37740999248957,27.694699442995496,6165679.214364219,120919662.0125152,11.081640577042664,28.430000000000007
27.40000000000001,23.000000000000004,27.60000000000001,38195.83626595395,59037.7163340159,188559072.0000001,296705033.66666675,24.399257644661493,27.706521069945403,16340030.879220117,88231401.15796505,11.281307132916185,28.43
27.4,23.0,27.600000000000005,38155.59988978002,59084.0197361867,188559072.0000001,296705033.6666667,24.42018356986176,27.72229301316216,7524437.001227161,47252595.1483275,11.480973688789694,28.430000000000003
27.4,23.0,27.60000000000001,38125.999480290135,59107.35766946293,188559072.00000003,296705033.66666675,24.44022646265741,27.740568484147865,1561564.2788923073,22979470.58007728,11.68064024466322,28.430000000000007
27.4,23.0,27.60000000000001,38125.36903999039,59133.29107329068,188559072.00000003,296705033.6666667,24.459425017615427,27.76010622109157,367782.3457550508,4844895.603939383,11.880306800536731,28.430000000000003
27.40000000000001,23.0,27.600000000000005,38056.81953446776,59166.54796805029,188559072.00000003,296705033.6666667,24.47781792930285,27.779858561258997,4489.844409160907,117448.44834841992,12.079973356410251,28.430000000000003
27.40000000000001,23.000000000000007,27.600000000000005,38053.24844295954,59186.601018140405,188559072.0000001,296705033.66666675,24.495443892286684,27.79895951338214,355813.1139415737,1875381.276844954,12.279639912283768,28.430000000000007
27.40000000000001,23.0,27.6,38032.35870302943,59214.52860658236,188559072.0,296705033.6666667,24.51234160113392,27.816712830049013,578985.3036124164,8565595.11106797,12.479306468157285,28.430000000000003
27.4,23.000000000000004,27.600000000000005,38001.75950683479,59240.859975279294,188559072.00000003,296705033.66666675,24.52854975041161,27.832580080093308,408817.109283018,15906248.542106329,12.6789730240308,28.430000000000003
27.4,23.0,27.600000000000005,37968.82454876597,59263.5775929281,188559072.0,296705033.6666667,24.544107034686736,27.84616872098401,1446060.349327683,28122512.67180196,12.87863957990432,28.43
27.40000000000001,23.0,27.600000000000005,37972.84315913449,59289.3021197244,188559072.00000003,296705033.66666675,24.55905214852632,27.857220171215147,3047128.8356307074,24505746.581961296,13.078306135777838,28.430000000000007
27.40000000000001,23.000000000000004,27.60000000000001,37942.40185642767,59299.252486653735,188559072.0000001,296705033.66666675,24.57342378649738,27.86559788269541,2186554.6347867805,20290802.33380128,13.277972691651357,28.430000000000007
27.4,23.0,27.60000000000001,37893.135620055655,59331.70529821169,188559072.00000003,296705033.6666667,24.587260643166903,27.87127541313784,937960.4858773348,13209803.95858862,13.477639247524872,28.430000000000007
27.40000000000001,23.0,27.600000000000005,37843.0934545372,59368.39348466014,188559072.00000003,296705033.6666667,24.60060141310194,27.874324498449504,85247.9327202995,7975390.462253726,13.67730580339839,28.430000000000003
27.4,23.000000000000004,27.600000000000005,37857.54881277779,59375.53198703311,188559072.0,296705033.6666667,24.61348479086948,27.874903125121183,285045.0953048404,1439192.0006828017,13.876972359271909,28.430000000000003
27.4,23.0,27.600000000000005,37847.2628856953,59412.98952196678,188559072.0,296705033.66666675,24.62594947103655,27.873243602617013,3325.787235627475,28570.630719654924,14.076638915145423,28.430000000000003
27.4,23.000000000000004,27.600000000000005,37824.76699248158,59426.06257688028,188559072.0000001,296705033.66666675,24.638034148170146,27.869640635764167,191176.67770353192,1168158.2300649532,14.276305471018944,28.430000000000003
27.4,23.0,27.60000000000001,37780.7399822693,59457.4807451957,188559072.00000003,296705033.6666667,24.64977751683729,27.86443939714254,315716.4386451397,4250567.166543689,14.47597202689246,28.430000000000003
27.4,23.0,27.600000000000005,37826.89062043255,59448.84151574925,188559072.0,296705033.6666667,24.661218271604987,27.85802359947441,2275251.269646604,7613303.232315792,14.675638582765975,28.430000000000007
27.4,23.0,27.6,37798.06545083207,59495.47706853937,188559072.0,296705033.6666667,24.672395107040263,27.85080356801415,1302807.37994846,16635156.02221523,14.875305138639495,28.430000000000003
27.40000000000001,23.0,27.6,37756.4580902073,59479.6237862127,188559072.0,296705033.6666667,24.68334671771011,27.843204312937807,249337.7734795848,11752264.060316866,15.074971694513012,28.43
27.4,23.0,27.6,37665.42714402234,59479.25823707593,188559072.0,296705033.6666666,24.69411179818157,27.835653601732872,1703016.7950898835,13963828.119625608,15.274638250386529,28.43
27.4,23.0,27.6,37647.52017084786,59410.50424446609,188559072.00000003,296705033.6666666,24.70472904302164,27.828570031587905,422871.0358653386,8700036.543808449,15.474304806260047,28.430000000000003
27.4,23.0,27.6,37640.640598234815,59409.715595074056,188559072.00000003,296705033.6666666,24.71523714679732,27.82235110178221,832668.0272358895,5109383.171957947,15.673971362133564,28.430000000000003
27.4,23.000000000000004,27.600000000000005,37622.98838143912,59369.85100785811,188559072.00000003,296705033.6666666,24.72567480407564,27.817361286075545,204406.59327879004,2618403.2910323134,15.873637918007082,28.430000000000003
27.40000000000001,23.0,27.600000000000005,37554.1169171416,59344.662672635895,188559072.00000003,296705033.6666667,24.7360807094236,27.813920105097715,16675.882124618736,54312.1671056318,16.073304473880597,28.430000000000003
27.4,23.0,27.600000000000005,37521.82445415678,59357.73530354072,188559072.00000003,296705033.6666667,24.74649355740823,27.81229019873832,53856.99120201812,1473818.6197142396,16.272971029754117,28.430000000000003
27.4,23.000000000000004,27.60000000000001,37491.09325751038,59385.03161303368,188559072.0000001,296705033.6666667,24.75695204259653,27.8126653985364,452956.8605870027,2723668.053790855,16.472637585627634,28.430000000000007
27.4,23.0,27.600000000000005,37482.222440654245,59407.89734395292,188559072.00000003,296705033.6666667,24.76749485955552,27.81515880007012,176688.47614619776,6977074.722315358,16.672304141501154,28.430000000000003
27.40000000000001,23.0,27.600000000000005,37464.93318524886,59377.27876077104,188559072.0,296705033.6666667,24.7781607028522,27.8197908353464,1284383.300073895,16013663.026583333,16.87197069737467,28.430000000000003
27.4,23.000000000000004,27.600000000000005,37418.74649485682,59438.392601979394,188559072.00000003,296705033.6666667,24.78898826705358,27.82647734519065,914322.355507629,13501610.511332728,17.071637253248184,28.430000000000003
27.4,23.0,27.600000000000005,37428.07053275046,59430.79393721039,188559072.00000003,296705033.6666667,24.800016246726692,27.83501765163639,3447832.110513058,19889071.934790038,17.271303809121704,28.43
27.40000000000001,23.0,27.600000000000005,37375.40708303741,59457.646281687616,188559072.00000003,296705033.6666667,24.811283336438542,27.84508263031497,1228005.7038745717,18814342.72549727,17.47097036499522,28.43
27.4,23.000000000000004,27.600000000000005,37355.01293757211,59486.59417103756,188559072.0,296705033.66666675,24.822828230756148,27.85620278284516,1655773.209977466,15789722.71724894,17.67063692086874,28.430000000000007
27.40000000000001,23.0,27.600000000000005,37357.35102280691,59500.54469181398,188559072.00000003,296705033.66666675,24.834689624246504,27.867756309222955,532556.7624073662,5569436.426196082,17.87030347674226,28.430000000000003
27.40000000000001,23.000000000000004,27.6,37348.7259030257,59493.795872430295,188559072.00000003,296705033.6666667,24.84690621147663,27.87895718021112,43169.08769692641,204657.23768347988,18.069970032615775,28.430000000000003
27.4,23.0,27.600000000000005,37331.97909168716,59511.79212718124,188559072.00000003,296705033.6666666,24.85951668701355,27.888843209728936,218747.3251992305,3842469.2315384746,18.26963658848929,28.430000000000007
27.4,23.0,27.600000000000005,37284.7131546509,59530.384423344105,188559072.0,296705033.6666667,24.87255974542425,27.896264127241817,1765394.6980417522,17451055.56693601,18.469303144362808,28.430000000000003
27.4,23.0,27.6,37272.84276534165,59552.85399411855,188559072.00000003,296705033.6666667,24.886074081275783,27.899869650151068,1485457.179522127,39107531.18335249,18.66896970023632,28.430000000000003
27.4,23.0,27.600000000000005,37250.679231705646,59566.28437414759,188559072.0000001,296705033.6666667,24.90009838913513,27.898097556183465,1420096.1537767374,67021298.48608482,18.868636256109845,28.43
27.4,23.0,27.60000000000001,37240.0384265038,59577.07915542757,188559072.0,296705033.6666667,24.91467136356932,27.889161755780997,1901400.85189843,115660978.02863488,19.06830281198336,28.43
27.4,23.0,27.600000000000005,37171.95960330526,59564.56406129782,188559072.00000003,296705033.6666667,24.92983169914535,27.87104036449048,7875013.762063531,208704771.254001,19.267969367856875,28.43
27.40000000000001,23.000000000000007,27.60000000000001,37165.6573476312,59553.86843272948,188559072.00000003,296705033.66666675,24.945618090430244,27.841463775353294,16567847.332617745,249394911.19048437,19.4676359237304,28.430000000000003
27.4,23.000000000000004,27.600000000000005,37093.17277671423,59574.905477345244,188559072.0000001,296705033.6666667,24.962069231991013,27.797902731294982,17281506.172229208,262636060.03582317,19.66730247960391,28.43
