iter	Passed	Remaining
0	10	6106
1	20	6381
2	31	6366
3	41	6250
4	51	6187
5	60	6089
6	69	6024
7	79	5958
8	88	5896
9	97	5836
10	106	5788
11	115	5773
12	124	5729
13	133	5685
14	142	5654
15	151	5626
16	159	5581
17	169	5569
18	178	5551
19	186	5525
20	196	5513
21	205	5507
22	207	5306
23	215	5279
24	225	5276
25	233	5254
26	243	5258
27	251	5245
28	260	5224
29	268	5209
30	278	5210
31	287	5207
32	295	5183
33	305	5179
34	313	5161
35	322	5143
36	331	5139
37	340	5134
38	349	5124
39	358	5122
40	367	5105
41	376	5100
42	384	5082
43	393	5069
44	403	5075
45	412	5061
46	421	5054
47	429	5043
48	438	5029
49	440	4937
50	448	4920
51	457	4912
52	465	4901
53	466	4810
54	474	4793
55	482	4778
56	491	4773
57	499	4763
58	511	4787
59	520	4778
60	528	4768
61	537	4758
62	545	4748
63	554	4737
64	562	4726
65	571	4716
66	580	4714
67	589	4706
68	597	4696
69	606	4686
70	615	4680
71	624	4672
72	632	4664
73	641	4656
74	649	4641
75	656	4623
76	664	4607
77	672	4593
78	679	4575
79	687	4562
80	695	4552
81	703	4538
82	712	4531
83	720	4522
84	729	4514
85	738	4508
86	747	4503
87	756	4493
88	764	4485
89	772	4474
90	780	4458
91	787	4444
92	795	4432
93	796	4382
94	804	4370
95	811	4354
96	819	4341
97	826	4328
98	834	4315
99	841	4302
100	850	4294
101	859	4289
102	867	4278
103	874	4263
104	881	4249
105	889	4237
106	897	4225
107	904	4214
108	912	4201
109	920	4190
110	928	4181
111	935	4166
112	942	4152
113	950	4143
114	958	4132
115	965	4121
116	973	4109
117	980	4095
118	988	4085
119	995	4072
120	1002	4061
121	1010	4049
122	1018	4039
123	1026	4031
124	1034	4022
125	1042	4011
126	1050	4001
127	1058	3993
128	1066	3983
129	1074	3975
130	1082	3967
131	1090	3955
132	1097	3945
133	1105	3935
134	1112	3923
135	1120	3911
136	1127	3900
137	1134	3889
138	1142	3880
139	1151	3873
140	1159	3863
141	1166	3853
142	1174	3844
143	1182	3834
144	1190	3825
145	1198	3818
146	1206	3807
147	1214	3800
148	1223	3792
149	1230	3783
150	1233	3756
151	1241	3748
152	1248	3737
153	1257	3730
154	1265	3722
155	1273	3713
156	1280	3703
157	1289	3696
158	1298	3691
159	1306	3683
160	1314	3674
161	1322	3664
162	1329	3654
163	1337	3644
164	1344	3634
165	1351	3623
166	1360	3616
167	1368	3607
168	1375	3597
169	1383	3589
170	1391	3580
171	1399	3571
172	1406	3561
173	1414	3552
174	1423	3545
175	1432	3539
176	1440	3532
177	1448	3522
178	1456	3514
179	1464	3507
180	1473	3499
181	1480	3490
182	1488	3481
183	1497	3474
184	1505	3467
185	1513	3458
186	1521	3450
187	1529	3441
188	1537	3433
189	1546	3426
190	1554	3417
191	1562	3409
192	1569	3399
193	1578	3393
194	1586	3384
195	1594	3376
196	1602	3367
197	1609	3358
198	1618	3350
199	1626	3343
200	1634	3334
201	1642	3326
202	1650	3317
203	1658	3309
204	1666	3300
205	1674	3291
206	1682	3283
207	1691	3277
208	1699	3268
209	1707	3260
210	1715	3251
211	1723	3243
212	1732	3236
213	1740	3228
214	1747	3219
215	1755	3210
216	1763	3202
217	1772	3194
218	1779	3185
219	1788	3178
220	1796	3170
221	1804	3162
222	1812	3153
223	1819	3144
224	1828	3136
225	1836	3128
226	1844	3120
227	1852	3111
228	1860	3103
229	1868	3095
230	1877	3088
231	1885	3080
232	1893	3071
233	1901	3063
234	1908	3054
235	1917	3046
236	1925	3038
237	1933	3030
238	1942	3022
239	1949	3013
240	1958	3007
241	1967	3000
242	1975	2990
243	1982	2981
244	1989	2972
245	1998	2964
246	2006	2956
247	2013	2947
248	2021	2939
249	2029	2930
250	2037	2921
251	2044	2912
252	2052	2904
253	2061	2897
254	2069	2889
255	2076	2880
256	2084	2871
257	2093	2864
258	2100	2855
259	2109	2847
260	2118	2840
261	2125	2831
262	2134	2824
263	2142	2815
264	2149	2807
265	2157	2798
266	2166	2791
267	2174	2783
268	2182	2774
269	2189	2765
270	2197	2756
271	2205	2749
272	2213	2740
273	2221	2732
274	2229	2723
275	2236	2714
276	2245	2707
277	2254	2700
278	2262	2691
279	2270	2684
280	2279	2677
281	2287	2669
282	2295	2660
283	2303	2652
284	2311	2643
285	2319	2635
286	2327	2627
287	2335	2618
288	2343	2611
289	2351	2603
290	2360	2595
291	2368	2587
292	2376	2579
293	2384	2571
294	2392	2563
295	2400	2554
296	2409	2547
297	2417	2538
298	2424	2530
299	2432	2521
300	2440	2513
301	2448	2505
302	2456	2497
303	2464	2489
304	2472	2480
305	2481	2472
306	2489	2465
307	2500	2459
308	2508	2451
309	2516	2443
310	2524	2435
311	2532	2427
312	2540	2419
313	2548	2410
314	2556	2401
315	2564	2393
316	2572	2385
317	2580	2377
318	2588	2369
319	2596	2361
320	2604	2352
321	2611	2344
322	2619	2335
323	2627	2327
324	2635	2319
325	2643	2310
326	2651	2302
327	2658	2294
328	2666	2285
329	2675	2277
330	2682	2269
331	2691	2261
332	2699	2253
333	2707	2245
334	2715	2236
335	2723	2228
336	2730	2220
337	2738	2211
338	2745	2203
339	2753	2194
340	2762	2186
341	2769	2178
342	2776	2169
343	2784	2161
344	2792	2153
345	2801	2145
346	2808	2136
347	2816	2128
348	2825	2120
349	2833	2112
350	2840	2104
351	2848	2096
352	2856	2088
353	2865	2080
354	2872	2071
355	2880	2063
356	2887	2054
357	2895	2046
358	2903	2038
359	2911	2029
360	2918	2021
361	2927	2013
362	2935	2005
363	2943	1997
364	2952	1989
365	2959	1981
366	2967	1973
367	2976	1965
368	2984	1957
369	2992	1948
370	3000	1941
371	3008	1932
372	3016	1924
373	3023	1916
374	3032	1908
375	3040	1900
376	3047	1891
377	3056	1883
378	3064	1876
379	3072	1867
380	3079	1859
381	3088	1851
382	3096	1843
383	3103	1834
384	3105	1823
385	3113	1814
386	3120	1806
387	3128	1797
388	3135	1789
389	3143	1781
390	3152	1773
391	3159	1765
392	3167	1756
393	3174	1748
394	3182	1740
395	3190	1732
396	3198	1723
397	3206	1715
398	3213	1707
399	3222	1699
400	3229	1691
401	3238	1683
402	3246	1675
403	3254	1667
404	3262	1659
405	3270	1651
406	3278	1643
407	3286	1635
408	3294	1626
409	3302	1618
410	3309	1610
411	3318	1602
412	3325	1594
413	3333	1586
414	3342	1578
415	3350	1570
416	3358	1562
417	3366	1554
418	3373	1546
419	3381	1537
420	3390	1530
421	3398	1521
422	3406	1513
423	3414	1505
424	3422	1497
425	3431	1490
426	3439	1482
427	3447	1474
428	3457	1466
429	3464	1458
430	3472	1450
431	3481	1442
432	3488	1434
433	3497	1426
434	3508	1419
435	3516	1411
436	3524	1403
437	3533	1395
438	3541	1387
439	3549	1379
440	3557	1371
441	3565	1363
442	3573	1355
443	3581	1347
444	3589	1339
445	3598	1331
446	3606	1323
447	3611	1313
448	3619	1305
449	3628	1298
450	3636	1290
451	3645	1282
452	3652	1273
453	3660	1265
454	3667	1257
455	3675	1249
456	3683	1241
457	3691	1233
458	3700	1225
459	3708	1217
460	3717	1209
461	3725	1201
462	3733	1193
463	3740	1185
464	3748	1176
465	3755	1168
466	3763	1160
467	3770	1152
468	3778	1143
469	3786	1135
470	3794	1127
471	3802	1119
472	3810	1111
473	3818	1103
474	3826	1095
475	3833	1087
476	3841	1079
477	3848	1070
478	3856	1062
479	3863	1054
480	3871	1046
481	3878	1038
482	3886	1029
483	3893	1021
484	3901	1013
485	3909	1005
486	3917	997
487	3925	989
488	3933	981
489	3941	973
490	3949	965
491	3957	957
492	3965	949
493	3973	941
494	3981	932
495	3989	924
496	3996	916
497	4004	908
498	4012	900
499	4020	892
500	4029	884
501	4037	876
502	4046	868
503	4054	860
504	4062	852
505	4069	844
506	4077	836
507	4085	828
508	4094	820
509	4102	812
510	4111	804
511	4119	796
512	4127	788
513	4135	780
514	4143	772
515	4152	764
516	4160	756
517	4168	748
518	4176	740
519	4184	732
520	4193	724
521	4200	716
522	4209	708
523	4217	700
524	4225	692
525	4233	684
526	4240	675
527	4249	668
528	4257	659
529	4265	651
530	4274	643
531	4282	635
532	4289	627
533	4297	619
534	4305	611
535	4313	603
536	4321	595
537	4329	587
538	4337	579
539	4345	571
540	4353	563
541	4362	555
542	4370	547
543	4378	539
544	4386	531
545	4394	523
546	4403	515
547	4411	507
548	4419	499
549	4427	491
550	4435	482
551	4443	474
552	4452	466
553	4460	458
554	4468	450
555	4476	442
556	4483	434
557	4491	426
558	4499	418
559	4508	410
560	4516	402
561	4524	394
562	4533	386
563	4540	378
564	4548	370
565	4556	362
566	4565	354
567	4572	346
568	4580	338
569	4589	330
570	4597	322
571	4605	314
572	4613	305
573	4621	297
574	4630	289
575	4638	281
576	4646	273
577	4654	265
578	4663	257
579	4671	249
580	4678	241
581	4687	233
582	4695	225
583	4703	217
584	4711	209
585	4719	201
586	4727	193
587	4735	185
588	4744	177
589	4751	169
590	4760	161
591	4767	153
592	4775	144
593	4783	136
594	4791	128
595	4799	120
596	4807	112
597	4815	104
598	4823	96
599	4831	88
600	4839	80
601	4847	72
602	4854	64
603	4862	56
604	4870	48
605	4878	40
606	4887	32
607	4894	24
608	4902	16
609	4910	8
610	4918	0
